STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/1/07,0,0,0,,91,65
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/2/07,0,0,0,,88,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/3/07,1.18,0,0,,72,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/4/07,0.35,0,0,,83,64
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/5/07,0,0,0,,82,63
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/6/07,0,0,0,,76,55
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/7/07,0,0,0,,85,52
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/8/07,0,0,0,,95,65
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/9/07,0,0,0,,87,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/10/07,0,0,0,,76,64
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/11/07,0,0,0,,84,61
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/12/07,0,0,0,,89,60
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/13/07,0.12,0,0,,82,61
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/14/07,0,0,0,,67,60
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/15/07,0,0,0,,72,58
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/16/07,0,0,0,,80,56
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/17/07,0,0,0,,89,62
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/18/07,0,0,0,,94,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/19/07,0.12,0,0,,92,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/20/07,0.05,0,0,,84,64
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/21/07,0.18,0,0,,87,56
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/22/07,0,0,0,,82,60
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/23/07,0,0,0,,82,50
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/24/07,0,0,0,,85,57
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/25/07,0.02,0,0,,87,71
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/26/07,0.01,0,0,,92,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/27/07,0,0,0,,97,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/28/07,0.16,0,0,,92,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/29/07,0.01,0,0,,75,69
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/30/07,0,0,0,,81,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/1/07,0,0,0,,82,58
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/2/07,0,0,0,,79,58
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/3/07,0.11,0,0,,80,54
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/4/07,0.58,0,0,,83,64
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/5/07,0.21,0,0,,82,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/6/07,0,0,0,,87,67
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/7/07,0,0,0,,90,64
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/8/07,0,0,0,,94,65
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/9/07,0,0,0,,97,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/10/07,1.84,0,0,,96,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/11/07,0.1,0,0,,89,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/12/07,0,0,0,,83,63
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/13/07,0,0,0,,85,65
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/14/07,0.03,0,0,,86,62
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/15/07,0,0,0,,92,69
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/16/07,0,0,0,,90,71
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/17/07,0,0,0,,92,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/18/07,0,0,0,,89,75
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/19/07,0,0,0,,91,71
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/20/07,0,0,0,,86,69
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/21/07,0,0,0,,85,63
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/22/07,0,0,0,,85,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/23/07,0,0,0,,84,63
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/24/07,0,0,0,,86,58
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/25/07,0,0,0,,87,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/26/07,0,0,0,,89,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/27/07,0.37,0,0,,94,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/28/07,0,0,0,,89,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/29/07,0.07,0,0,,83,71
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/30/07,0,0,0,,85,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/31/07,0,0,0,,92,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/1/07,0,0,0,,93,65
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/2/07,0,0,0,,95,67
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/3/07,0,0,0,,96,71
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/4/07,0,0,0,,98,69
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/5/07,0.1,0,0,,87,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/6/07,0.03,0,0,,93,72
